,RT_low,RT_high_1,ACC_low,ACC_high_1,dis_con,workerId
0,1036.695652,884.5897436,1,0.930555556,"[1, 2, 3, 4]",39936
2,874.8636364,821.2364532,0.916666667,0.958333333,"[1, 2, 3, 4]",39938
4,876.7272727,874.9849246,0.958333333,0.949074074,"[1, 2, 3, 4]",39939
6,995.3043478,858.3675676,0.958333333,0.898148148,"[1, 2, 3, 4]",39942
8,1223.8,1228.085227,0.833333333,0.833333333,"[1, 2, 3, 4]",39943
10,1234.73913,1164.8,1,0.949074074,"[1, 2, 3, 4]",39944
12,789.0909091,822.127551,0.958333333,0.944444444,"[1, 2, 3, 4]",39949
14,952.5,822.51,0.75,0.949074074,"[1, 2, 3, 4]",39950
16,772.75,800.1658291,1,0.953703704,"[1, 2, 3, 4]",39952
18,868.4090909,831.78,0.958333333,0.953703704,"[1, 2, 3, 4]",39953
20,1155.954545,954.1010101,0.916666667,0.953703704,"[1, 2, 3, 4]",39963
22,1533.391304,1367.736842,0.958333333,0.986111111,"[1, 2, 3, 4]",39989
24,715.4736842,758.0628272,0.833333333,0.907407407,"[1, 2, 3, 4]",39998
26,810.4,902.3668342,0.833333333,0.949074074,"[1, 2, 3, 4]",40002
28,1186.095238,1199.751351,0.875,0.87962963,"[1, 2, 3, 4]",40271
30,886.4090909,776.4842767,0.930555556,0.976190476,"[1, 2, 3, 4]",40274
32,893.3018868,937.6081081,0.763888889,0.898809524,"[1, 2, 3, 4]",40290
34,1195.826087,945.1039604,0.958333333,0.953703704,"[1, 2, 3, 4]",39910
36,586.8,629.0736842,0.916666667,0.912037037,"[1, 2, 3, 4]",39914
38,1110,1013.502646,0.833333333,0.907407407,"[1, 2, 3, 4]",39917
40,835.1578947,708.5940594,0.833333333,0.958333333,"[1, 2, 3, 4]",39918
42,939.6521739,813.6813725,0.958333333,0.967592593,"[1, 2, 3, 4]",40305
44,747.359375,713.2484472,0.916666667,0.994047619,"[1, 2, 3, 4]",40306
46,735.35,668.625641,0.875,0.925925926,"[1, 2, 3, 4]",39931
48,1128.041667,1035.621212,1,0.935185185,"[1, 2, 3, 4]",39932
50,1125.409091,1111.07732,0.916666667,0.916666667,"[1, 2, 3, 4]",39933
,1444.782609,1246.964824,0.958333333,0.935185185,"[1, 2, 3, 4]",40104
,894.2727273,941.6530612,0.958333333,0.930555556,"[1, 2, 3, 4]",40105
,700.7083333,622.9947368,1,0.907407407,"[1, 2, 3, 4]",40107
,1079.608696,942.2361809,0.958333333,0.953703704,"[1, 2, 3, 4]",40495
,1223.368421,1172.740541,0.791666667,0.861111111,"[1, 2, 3, 4]",40116
,974.7826087,904.1485149,1,0.958333333,"[1, 2, 3, 4]",40117
,812.7826087,685.0995025,1,0.953703704,"[1, 2, 3, 4]",40127
,1487.894737,862.7180851,0.791666667,0.898148148,"[1, 2, 3, 4]",40128
,755.4782609,811.2,1,0.953703704,"[1, 2, 3, 4]",40134
,1061.73913,1133.803922,1,0.976851852,"[1, 2, 3, 4]",40147
,845.9,713.5543478,0.833333333,0.884259259,"[1, 2, 3, 4]",40148
,805.9130435,816.6594595,1,0.888888889,"[1, 2, 3, 4]",40153
,557.7142857,517.0529101,0.916666667,0.907407407,"[1, 2, 3, 4]",40041
,818.1111111,791.8064516,0.791666667,0.893518519,"[1, 2, 3, 4]",40172
,1206.045455,1093.036458,0.916666667,0.902777778,"[1, 2, 3, 4]",40045
,1313.733333,1132.296053,0.625,0.722222222,"[1, 2, 3, 4]",40174
,1002.095238,843.1185567,0.916666667,0.935185185,"[1, 2, 3, 4]",40175
,634.7826087,554.6752577,1,0.935185185,"[1, 2, 3, 4]",40052
,818.5,718.4224599,0.916666667,0.893518519,"[1, 2, 3, 4]",40181
,804.6363636,697.3507109,0.958333333,0.99537037,"[1, 2, 3, 4]",40182
,1178.347826,1041.994845,0.958333333,0.921296296,"[1, 2, 3, 4]",40183
,1060.5,1047.92228,0.833333333,0.921296296,"[1, 2, 3, 4]",40184
