,RT_low,RT_high_1,ACC_low,ACC_high_1,dis_con,workerId
1,1051.826087,1067.041237,0.958333333,0.912442396,"[5, 6, 7, 8]",39936
3,882.9473684,1001.045455,0.833333333,0.940092166,"[5, 6, 7, 8]",39938
5,1086.454545,1080.298507,0.958333333,0.949308756,"[5, 6, 7, 8]",39939
7,1092.85,1002.678756,0.833333333,0.921658986,"[5, 6, 7, 8]",39942
9,1184.333333,1206.666667,0.875,0.935483871,"[5, 6, 7, 8]",39943
11,1197.9,1234.57,0.875,0.944700461,"[5, 6, 7, 8]",39944
13,1156.875,1154.104712,1,0.893518519,"[5, 6, 7, 8]",39949
15,1093,1126.464088,0.75,0.843317972,"[5, 6, 7, 8]",39950
17,913.1818182,865.7631579,0.916666667,0.898617512,"[5, 6, 7, 8]",39952
19,842.4090909,814.9004975,0.958333333,0.963133641,"[5, 6, 7, 8]",39953
21,918.5789474,1156.364103,0.833333333,0.912442396,"[5, 6, 7, 8]",39963
23,1299,1155.0199,0.875,0.949308756,"[5, 6, 7, 8]",39989
25,821.75,811.9784946,0.875,0.889400922,"[5, 6, 7, 8]",39998
27,1049.521739,1040.541872,1,0.963133641,"[5, 6, 7, 8]",40002
29,1326.095238,1238.763006,0.958333333,0.847926267,"[5, 6, 7, 8]",40271
31,1033.793103,902.1225806,0.808219178,0.952380952,"[5, 6, 7, 8]",40274
33,974.0535714,916.3287671,0.780821918,0.892857143,"[5, 6, 7, 8]",40290
35,967.2,987.2156863,0.708333333,0.760368664,"[5, 6, 7, 8]",39910
37,720.5789474,710.0203046,0.833333333,0.926267281,"[5, 6, 7, 8]",39914
39,1119.772727,1012.731343,0.916666667,0.944700461,"[5, 6, 7, 8]",39917
41,653.9090909,665.7397959,0.916666667,0.926267281,"[5, 6, 7, 8]",39918
43,778.7826087,757.4320388,1,0.97235023,"[5, 6, 7, 8]",40305
45,841.1969697,777.2,0.944444444,0.982248521,"[5, 6, 7, 8]",40306
47,795.0434783,851.7305699,1,0.917050691,"[5, 6, 7, 8]",39931
49,998.0952381,1025.669856,0.916666667,0.98156682,"[5, 6, 7, 8]",39932
51,1407.473684,1102.362694,0.791666667,0.917050691,"[5, 6, 7, 8]",39933
,1518.545455,1389.521505,0.916666667,0.861751152,"[5, 6, 7, 8]",40104
,1241,1049.10582,0.875,0.884792627,"[5, 6, 7, 8]",40105
,709.7727273,624.7298851,0.88,0.833333333,"[5, 6, 7, 8]",40107
,1039.277778,1072.15873,0.833333333,0.889400922,"[5, 6, 7, 8]",40495
,1041.428571,1026.208333,0.875,0.894009217,"[5, 6, 7, 8]",40116
,1154.090909,957.040201,0.92,0.953703704,"[5, 6, 7, 8]",40117
,775.9090909,748.5263158,0.916666667,0.912442396,"[5, 6, 7, 8]",40127
,1242.363636,1115.224852,0.916666667,0.801843318,"[5, 6, 7, 8]",40128
,915,824.5765306,1,0.940092166,"[5, 6, 7, 8]",40134
,1366.347826,1334.570732,0.958333333,0.958525346,"[5, 6, 7, 8]",40147
,821.2777778,802.3169399,0.791666667,0.857142857,"[5, 6, 7, 8]",40148
,1064.52381,997.0879121,0.88,0.865740741,"[5, 6, 7, 8]",40153
,618,590.2142857,0.833333333,0.866359447,"[5, 6, 7, 8]",40041
,1157.913043,1044.462366,0.958333333,0.884792627,"[5, 6, 7, 8]",40172
,1000.866667,1098.702703,0.666666667,0.870967742,"[5, 6, 7, 8]",40045
,1145.857143,1185.97549,0.88,0.962962963,"[5, 6, 7, 8]",40174
,1211.565217,1054.821053,0.958333333,0.894009217,"[5, 6, 7, 8]",40175
,562.4285714,537.1666667,0.916666667,0.912442396,"[5, 6, 7, 8]",40052
,758.8095238,720.6994536,0.916666667,0.884792627,"[5, 6, 7, 8]",40181
,950.1428571,827.7142857,0.875,0.97235023,"[5, 6, 7, 8]",40182
,1203.608696,1267.214286,0.958333333,0.843317972,"[5, 6, 7, 8]",40183
,921.2631579,1013.469072,0.833333333,0.917050691,"[5, 6, 7, 8]",40184
