,RT_low,RT_high_1,ACC_low,ACC_high_1,dis_con,workerId,
49,579.6363636,579.9134615,0.916666667,0.98156682,"[5, 6, 7, 8]",40308,0.949116744
48,708.4545455,796.1840796,0.958333333,0.949074074,"[1, 2, 3, 4]",40308,0.953703704
51,730.1904762,758.2910053,0.916666667,0.912442396,"[5, 6, 7, 8]",40309,0.914554532
50,941.0909091,1060.010309,0.958333333,0.912037037,"[1, 2, 3, 4]",40309,0.935185185
21,647.6315789,683.0857143,0.833333333,0.829493088,"[5, 6, 7, 8]",40315,0.831413211
20,937.2173913,981.6759777,1,0.842592593,"[1, 2, 3, 4]",40315,0.921296297
66,821.3529412,842.4896907,0.708333333,0.921296296,"[1, 2, 3, 4]",40317,0.814814815
67,617.7727273,609.6914894,0.92,0.893518519,"[5, 6, 7, 8]",40317,0.90675926
0,1073.5,935.2178218,1,0.962962963,"[1, 2, 3, 4]",40358,0.981481482
1,731.6666667,728.102439,1,0.97235023,"[5, 6, 7, 8]",40358,0.986175115
3,679.4210526,871.2222222,0.833333333,0.852534562,"[5, 6, 7, 8]",40361,0.842933948
2,1212.590909,1193.578652,0.916666667,0.833333333,"[1, 2, 3, 4]",40361,0.875
7,655.1904762,612.5380711,0.916666667,0.944700461,"[5, 6, 7, 8]",40367,0.930683564
6,683.2173913,654.0964467,1,0.944444444,"[1, 2, 3, 4]",40367,0.972222222
8,966.25,1166.579268,0.875,0.782407407,"[1, 2, 3, 4]",40368,0.828703704
9,1135.318182,1033.419689,0.958333333,0.903225806,"[5, 6, 7, 8]",40368,0.93077957
11,788.6666667,676.1010638,0.75,0.880184332,"[5, 6, 7, 8]",40374,0.815092166
10,728.8333333,760.4728261,1,0.888888889,"[1, 2, 3, 4]",40374,0.944444445
13,629.35,598.5123153,0.875,0.958525346,"[5, 6, 7, 8]",40375,0.916762673
12,663.9047619,632.6934673,0.916666667,0.953703704,"[1, 2, 3, 4]",40375,0.935185186
14,740.4285714,791.1744186,0.916666667,0.824074074,"[1, 2, 3, 4]",40376,0.870370371
15,598.5909091,617.6035503,0.958333333,0.792626728,"[5, 6, 7, 8]",40376,0.875480031
16,1163.565217,988.1428571,0.958333333,0.944444444,"[1, 2, 3, 4]",40377,0.951388889
17,919.6363636,829.3631841,0.958333333,0.958525346,"[5, 6, 7, 8]",40377,0.95842934
18,1143.761905,1259.573034,0.916666667,0.847222222,"[1, 2, 3, 4]",40378,0.881944445
19,925.952381,1119.697917,0.875,0.917050691,"[5, 6, 7, 8]",40378,0.896025346
22,1666,1618.77,0.833333333,0.930555556,"[1, 2, 3, 4]",40411,0.881944445
23,978.0909091,893.2626263,1,0.958525346,"[5, 6, 7, 8]",40411,0.979262673
25,894.2222222,789.1436464,0.791666667,0.861751152,"[5, 6, 7, 8]",40412,0.82670891
24,1252.681818,1157.932292,0.916666667,0.912037037,"[1, 2, 3, 4]",40412,0.914351852
28,873.6470588,799.2486486,0.75,0.884259259,"[1, 2, 3, 4]",40415,0.81712963
29,583.5238095,558.0053476,0.916666667,0.903225806,"[5, 6, 7, 8]",40415,0.909946237
30,1374.086957,1442.204878,0.958333333,0.962962963,"[1, 2, 3, 4]",40416,0.960648148
31,1109.608696,1031.352657,0.958333333,0.976958525,"[5, 6, 7, 8]",40416,0.967645929
32,678.85,734.5797872,0.875,0.902777778,"[1, 2, 3, 4]",40418,0.888888889
33,678.5238095,719.2916667,0.916666667,0.921658986,"[5, 6, 7, 8]",40418,0.919162827
34,971.952381,975.3283582,0.875,0.953703704,"[1, 2, 3, 4]",40420,0.914351852
35,826.125,798.0728155,1,0.97235023,"[5, 6, 7, 8]",40420,0.986175115
37,740.0909091,815.4030612,0.958333333,0.935483871,"[5, 6, 7, 8]",40421,0.946908602
36,1022.625,1084.505319,1,0.921296296,"[1, 2, 3, 4]",40421,0.960648148
38,897.8636364,916.1881188,0.958333333,0.962962963,"[1, 2, 3, 4]",40428,0.960648148
39,871.3181818,739.6731707,0.958333333,0.98156682,"[5, 6, 7, 8]",40428,0.969950077
41,546.2272727,601.8080808,0.958333333,0.944700461,"[5, 6, 7, 8]",40431,0.951516897
40,695.4545455,657.4949495,0.958333333,0.962962963,"[1, 2, 3, 4]",40431,0.960648148
42,976.2608696,810.3804878,0.958333333,0.972222222,"[1, 2, 3, 4]",40432,0.965277778
43,837.6666667,676.3512195,1,0.98156682,"[5, 6, 7, 8]",40432,0.99078341
44,1103.05,1050.255682,0.916666667,0.842592593,"[1, 2, 3, 4]",40433,0.87962963
45,869.9166667,749.9270833,1,0.912442396,"[5, 6, 7, 8]",40433,0.956221198
46,806.8571429,862.4871795,0.916666667,0.925925926,"[1, 2, 3, 4]",40435,0.921296297
47,828.0434783,807.6268657,0.958333333,0.953917051,"[5, 6, 7, 8]",40435,0.956125192
52,906.6666667,894.1368421,0.916666667,0.912037037,"[1, 2, 3, 4]",40438,0.914351852
53,743.1363636,654.3811881,0.916666667,0.958525346,"[5, 6, 7, 8]",40438,0.937596007
54,941.6842105,1093.497076,0.833333333,0.828703704,"[1, 2, 3, 4]",40439,0.831018519
55,761.0869565,879.7624309,1,0.861751152,"[5, 6, 7, 8]",40439,0.930875576
57,637.95,583.0167598,0.833333333,0.847926267,"[5, 6, 7, 8]",40440,0.8406298
56,707.85,622.5028249,0.875,0.847222222,"[1, 2, 3, 4]",40440,0.861111111
60,652.5,713.3777778,0.958333333,0.87037037,"[1, 2, 3, 4]",40442,0.914351852
61,607.9166667,612.2872928,1,0.856481481,"[5, 6, 7, 8]",40442,0.928240741
63,572.8181818,591.0502513,0.916666667,0.949308756,"[5, 6, 7, 8]",40443,0.932987712
62,659.8695652,731.7486631,1,0.888888889,"[1, 2, 3, 4]",40443,0.944444445
,943.7619048,819.5430464,0.875,0.928571429,"[1, 2, 3, 4]",40588,
,710.5909091,607.0472973,0.958333333,0.916666667,"[5, 6, 7, 8]",40588,
,978.7083333,962.3206522,1,0.87037037,"[1, 2, 3, 4]",40591,
,751.2727273,703.1329787,0.916666667,0.898617512,"[5, 6, 7, 8]",40591,
,1279.391304,1081.269737,0.958333333,0.928571429,"[1, 2, 3, 4]",40238,
,881.8695652,916.19375,1,0.970238095,"[5, 6, 7, 8]",40238,
,1517.956522,1476.264706,0.958333333,0.962962963,"[1, 2, 3, 4]",40239,
,1572.75,1395.105769,1,0.967741935,"[5, 6, 7, 8]",40239,
,927.2941176,1002.752137,0.75,0.726190476,"[1, 2, 3, 4]",40496,
,734.5,664.9214286,0.833333333,0.857988166,"[5, 6, 7, 8]",40496,
,1330.521739,1242.615385,0.958333333,0.916666667,"[1, 2, 3, 4]",40241,
,1088.875,1018.966019,1,0.958525346,"[5, 6, 7, 8]",40241,
,849.8181818,799.8431373,0.958333333,0.93452381,"[1, 2, 3, 4]",40242,
,719,637.8441558,0.875,0.946745562,"[5, 6, 7, 8]",40242,
,1300.333333,1305.358974,0.916666667,0.921296296,"[1, 2, 3, 4]",40243,
,1052.761905,910.798995,0.875,0.935483871,"[5, 6, 7, 8]",40243,
,1628.55,1652.983146,0.833333333,0.828703704,"[1, 2, 3, 4]",40501,
,1245.304348,1333.375635,0.958333333,0.926267281,"[5, 6, 7, 8]",40501,
,1017.956522,1035.758621,1,0.875,"[1, 2, 3, 4]",40502,
,632.6,656.9731544,1,0.899408284,"[5, 6, 7, 8]",40502,
,852.1,912.8486486,0.833333333,0.884259259,"[1, 2, 3, 4]",40245,
,711.5714286,655.6956522,0.88,0.888888889,"[5, 6, 7, 8]",40245,
,758.5454545,745.5748792,0.958333333,0.99537037,"[1, 2, 3, 4]",40249,
,732.1304348,704.408867,1,0.958525346,"[5, 6, 7, 8]",40249,
,1821.809524,1719,0.875,0.904761905,"[1, 2, 3, 4]",40250,
,946.9583333,1014.646341,1,0.988095238,"[5, 6, 7, 8]",40250,
,1076.652174,1089.897059,1,0.976851852,"[1, 2, 3, 4]",40521,
,896.6956522,888.8285714,1,0.995391705,"[5, 6, 7, 8]",40521,
,1074.391304,1024.503448,0.958333333,0.892857143,"[1, 2, 3, 4]",40522,
,671.15,660.0507246,0.875,0.846153846,"[5, 6, 7, 8]",40522,
,1081.875,1071.280255,1,0.964285714,"[1, 2, 3, 4]",40270,
,815.2272727,827.9113924,0.92,0.964497041,"[5, 6, 7, 8]",40270,
,1762.47619,1672.658228,0.916666667,0.964285714,"[1, 2, 3, 4]",40536,
,1466.818182,1310.037736,0.916666667,0.970414201,"[5, 6, 7, 8]",40536,
,1091.217391,893.7958115,0.958333333,0.916666667,"[1, 2, 3, 4]",40541,
,715.6818182,679.9693878,0.958333333,0.930875576,"[5, 6, 7, 8]",40541,
,1135.083333,1130.102564,1,0.94047619,"[1, 2, 3, 4]",40542,
,782.6086957,780.1132075,1,0.970414201,"[5, 6, 7, 8]",40542,
,1201.695652,1199.403061,1,0.921296296,"[1, 2, 3, 4]",40565,
,854.375,886.786802,1,0.921658986,"[5, 6, 7, 8]",40565,
,1661.15,1585.185185,0.833333333,0.768518519,"[1, 2, 3, 4]",40699,
,1113.714286,1087.541667,0.958333333,0.926267281,"[5, 6, 7, 8]",40699,
,1133.882353,1120.939189,0.708333333,0.898809524,"[1, 2, 3, 4]",40700,
,961.7727273,834.3289474,0.958333333,0.93452381,"[5, 6, 7, 8]",40700,
